Rank,Name,Domestic Box Office,Movies,Average
454,Christina Hendricks,459533919,7,65647703
455,Jason Lee,459436683,11,41766971
456,Naomi Scott,458724972,4,114681243
457,Alyson Hannigan,456559234,7,65222748
458,Carla Gugino,456150769,11,41468252
459,Sharon Stone,454512774,24,18938032
460,Winona Ryder,453936905,19,23891416
461,AnnaSophia Robb,453888662,9,50432074
462,Henry Thomas,450832366,7,64404624
463,Annie Potts,449538008,3,149846003
464,Lea Seydoux,449365378,15,29957692
465,Linda Cardellini,449302450,8,56162806
466,Robert Guillaume,448251203,2,224125602
467,Frances McDormand,445742432,10,44574243
468,Dan Whitney,443664387,4,110916097
469,Kathleen Turner,442004457,21,21047831
470,Dan Fogler,441556297,9,49061811
471,Bill Pullman,441526722,19,23238249
472,Lily James,441378423,9,49042047
473,Craig Ferguson,441010140,5,88202028
474,Eugene Levy,440751315,10,44075132
475,Rick Moranis,440212608,6,73368768
476,Bonnie Hunt,439677004,3,146559001
477,"Cuba Gooding, Jr.",438509664,19,23079456
478,Leslie Mann,438243169,10,43824317
479,Shannon Elizabeth,438114442,10,43811444
480,Sam Rockwell,436933109,24,18205546
481,Clive Owen,435177828,23,18920775
482,Kevin Bacon,435006907,19,22895100
483,Tony Hale,434746962,3,144915654
484,Sarah Silverman,434542765,8,54317846
485,William Moseley,433332447,4,108333112
486,Anna Popplewell,433332447,3,144444149
487,Ving Rhames,429900516,9,47766724
488,Joel Edgerton,429815027,19,22621844
489,Milla Jovovich,427887522,21,20375596
490,Lee Pace,426844525,5,85368905
491,Clark Gregg,426829839,3,142276613
492,Lashana Lynch,426829839,1,426829839
493,George Lopez,426715952,12,35559663
494,Marlon Wayans,425871250,9,47319028
495,Ashley Judd,423264573,11,38478598
496,Edward Burns,423013168,13,32539474
497,Ernie Sabella,421785283,1,421785283
498,Jonathan Taylor Thomas,421785283,1,421785283
499,Byung-hun Lee,420487704,7,60069672
500,Lewis Black,419117564,4,104779391
501,Ana de Armas,418646022,9,46516225
502,Naomie Harris,418245167,9,46471685
503,Rob Schneider,417914443,13,32147265
504,Justin Timberlake,417718862,11,37974442
505,Chris O'Donnell,416027352,7,59432479
506,Lindsay Lohan,415909626,15,27727308
507,Zach Braff,415237988,8,51904749
508,Alison Brie,414539956,12,34544996
509,Vera Farmiga,414310024,17,24371178
510,Christina Ricci,414191085,22,18826868
511,Christopher Lloyd,413888331,13,31837564
512,Kate Hudson,413582088,16,25848881
513,Ian McShane,412088529,4,103022132
514,Mandy Moore,411537557,10,41153756
515,Jason Biggs,411251254,8,51406407
516,Sean Penn,411048089,17,24179299
517,Wanda Sykes,409270424,6,68211737
518,Jonathan Groff,408468514,4,102117129
519,Toni Collette,408107421,24,17004476
520,Thomas Ian Nicholas,408013108,7,58287587
521,Eddie Kaye Thomas,408010808,4,102002702
522,Gabrielle Union,407627377,15,27175158
523,Bernie Mac,406782645,6,67797108
524,Freida Pinto,405615387,11,36874126
525,Zachary Levi,405599015,9,45066557
526,Nick Kroll,401762554,9,44640284
527,Christopher Eccleston,401696296,4,100424074
528,Steve Coogan,401621347,20,20081067
529,Tori Kelly,401057905,2,200528953
530,Santino Fontana,400953009,2,200476505
531,Armie Hammer,400751722,18,22263985
532,Roy Scheider,400746052,3,133582017
533,Jaden Smith,399936550,4,99984138
534,Adam Beach,399616498,3,133205499
535,Jessica Chastain,399450053,24,16643752
536,Nathalie Emmanuel,398770710,2,199385355
537,Cara Delevingne,397579728,4,99394932
538,Danny McBride,396832479,12,33069373
539,Andy Richter,396566362,2,198283181
540,Yahya Abdul-Mateen II,396248377,3,132082792
541,Dakota Fanning,394942900,20,19747145
542,Emilia Clarke,394924293,8,49365537
543,Russell Brand,394499905,8,49312488
544,Cher,394004582,9,43778287
545,Tom Hulce,393759710,6,65626618
546,Alison Sudol,393593476,3,131197825
547,Jamie Dornan,391930559,11,35630051
548,Michael Rooker,391921468,2,195960734
549,Ike Barinholtz,391625513,5,78325103
550,Gary Oldman,391226525,21,18629835
551,David Koechner,391190920,11,35562811
552,Eiza González,389262208,9,43251356
553,Blake Lively,388238214,14,27731301
554,Michael Clarke Duncan,387366768,8,48420846
555,Giancarlo Esposito,386871006,7,55267287
556,Karan Soni,383370186,4,95842547
557,Rihanna,382849621,4,95712405
558,Barry Humphries,380529370,2,190264685
559,Ron Perlman,380145965,19,20007682
560,Naomi Watts,379479447,31,12241272
561,Rene Russo,378687232,11,34426112
562,Theo James,378057260,11,34368842
563,Louis C.K.,376242071,3,125414024
564,Sofia Boutella,374765848,7,53537978
565,Maria Bello,372681078,11,33880098
566,Hilary Swank,371870129,19,19572112
567,Tara Reid,371575842,14,26541132
568,Amber Heard,371499660,13,28576897
569,Minnie Driver,370149458,10,37014946
570,Brianna Hildebrand,369043582,4,92260896
571,Bobby Moynihan,368384330,2,184192165
572,Justin Bartha,366830605,6,61138434
573,Alan Arkin,366657266,13,28204405
574,Kumail Nanjiani,366441803,7,52348829
575,Noomi Rapace,366422229,19,19285380
576,Paul Giamatti,366201474,13,28169344
577,Patton Oswalt,365555235,8,45694404
578,Snoop Dogg,364020288,11,33092753
579,Neel Sethi,364001123,1,364001123
580,Garrett Hedlund,363988657,13,27999127
581,Uma Thurman,363421669,16,22713854
582,Jean-Claude Van Damme,362572042,31,11695872
583,Scott Eastwood,362546171,9,40282908
584,Conrad Vernon,361390524,3,120463508
585,Sanaa Lathan,361181487,8,45147686
586,Bryan Cranston,360174136,9,40019348
587,Ioan Gruffudd,359976318,6,59996053
588,Matthew Lillard,359510755,8,44938844
589,Will Poulter,357208931,4,89302233
590,Kristin Davis,357200610,4,89300153
591,Phyllis Smith,356461711,1,356461711
592,Marwan Kenzari,355559396,5,71111879
593,Mena Massoud,355559216,5,71111843
594,Navid Negahban,355559216,1,355559216
595,Hannah John-Kamen,354485241,4,88621310
596,John Krasinski,354375460,11,32215951
597,Anna Camp,354222748,6,59037125
598,Ester Dean,354194853,4,88548713
599,Alexis Knapp,354194853,5,70838971
600,Elle Fanning,353280180,24,14720008
601,Warren Beatty,351692510,8,43961564
602,Taylor Swift,351682924,3,117227641
603,Robert Duvall,350870304,18,19492795
604,Paula Patton,350773640,7,50110520
605,Saoirse Ronan,349606491,14,24971892
606,Roger Moore,349521732,28,12482919
607,Trey Parker,349436737,3,116478912
608,Greg Kinnear,349408696,19,18389931
609,DeForest Kelley,347355597,4,86838899
610,Leonard Nimoy,347355597,4,86838899
611,Cobie Smulders,347279037,7,49611291
612,Jim Parsons,347117349,7,49588193
613,Tom Berenger,345745534,16,21609096
614,Freddie Highmore,345432362,10,34543236
615,Jeremy Piven,345383343,9,38375927
616,Catherine O'Hara,345220203,4,86305051
617,Said Taghmaoui,344983536,4,86245884
618,Cheech Marin,343981514,7,49140216
619,Bob Hoskins,343164240,9,38129360
620,Florence Pugh,342132556,9,38014728
621,Patrick Dempsey,341072946,9,37896994
622,Ed Harris,341067340,24,14211139
623,Benjamin Bratt,340420084,4,85105021
624,Malin Akerman,339833308,13,26141024
625,Maggie Grace,338384304,11,30762209
626,Dev Patel,337034578,12,28086215
627,Christine Baranski,336875657,5,67375131
628,Alicia Vikander,336873271,14,24062377
629,James Garner,334051806,8,41756476
630,Thandiwe Newton,333786738,16,20861671
631,Jaeden Lieberher,333116978,4,83279245
632,Chris Sanders,332939952,2,166469976
633,Hank Azaria,331961290,6,55326882
634,Jake Johnson,331782390,9,36864710
635,Rosamund Pike,331032111,17,19472477
636,Lucy Alexis Liu,330470442,9,36718938
637,"Freddie Prinze, Jr.",329746199,8,41218275
638,Ralph Macchio,329724668,10,32972467
639,Steve McQueen,329712410,15,21980827
640,Rosie O'Donnell,328690274,3,109563425
641,Keke Palmer,328055902,9,36450656
642,Marion Cotillard,327645967,18,18202554
643,Chuck Norris,325710548,20,16285527
644,Zazie Beetz,325286584,5,65057317
645,Karen Fukuhara,325100054,1,325100054
646,Morena Baccarin,324609038,6,54101506
647,Leslie Uggams,324591735,1,324591735
648,Stefan Kapicic,324591735,1,324591735
649,Ken Jeong,323523231,9,35947026
650,Gina Rodriguez,323232545,16,20202034
651,Kate McKinnon,323196160,5,64639232
652,Tina Fey,321637232,8,40204654
653,Donald Sutherland,321567893,22,14616722
